id,class,consumer,site,detail,count,disposition
D0140,reflection-callsite,FFXIV_ACT_Plugin.Memory,FFXIV_ACT_Plugin.Memory.DataSubscription::DelegateCallback,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0141,reflection-callsite,OverlayPlugin,RainbowMage.OverlayPlugin.AssemblyResolver::CustomAssemblyResolve,System.Reflection.Assembly.LoadFile,1,UNREVIEWED
D0142,reflection-callsite,OverlayPlugin,RainbowMage.OverlayPlugin.AssemblyResolver::CustomAssemblyResolve,System.Reflection.Assembly.Load,1,UNREVIEWED
D0143,reflection-callsite,OverlayPlugin,RainbowMage.OverlayPlugin.SanityChecker::CheckDependencyVersions,System.Reflection.Assembly.Load,1,UNREVIEWED
D0144,reflection-callsite,OverlayPlugin,RainbowMage.OverlayPlugin.SanityChecker::LoadSaneAssembly,System.Reflection.Assembly.Load,1,UNREVIEWED
D0145,reflection-callsite,OverlayPlugin.Common,RainbowMage.OverlayPlugin.AssemblyExtensions::SafeGetTypes,System.Reflection.Assembly.GetTypes,1,UNREVIEWED
D0146,reflection-callsite,OverlayPlugin.Common,RainbowMage.OverlayPlugin.OverlayConfigList`1::GetType,System.Reflection.Assembly.GetType,1,UNREVIEWED
D0147,reflection-callsite,OverlayPlugin.Common,RainbowMage.OverlayPlugin.Registry::GetContainer,System.Type.GetProperty,1,UNREVIEWED
D0148,reflection-callsite,OverlayPlugin.Common,RainbowMage.OverlayPlugin.Registry::RegisterEventSource,System.Reflection.ConstructorInfo.Invoke,1,UNREVIEWED
D0149,reflection-callsite,OverlayPlugin.Common,RainbowMage.OverlayPlugin.TinyIoCContainer::BuildUpInternal,System.Type.GetProperties,1,UNREVIEWED
D0150,reflection-callsite,OverlayPlugin.Common,RainbowMage.OverlayPlugin.TinyIoCContainer::GetIEnumerableRequest,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0151,reflection-callsite,OverlayPlugin.Common,RainbowMage.OverlayPlugin.TinyIoCContainer::GetLazyAutomaticFactoryRequest,System.Type.GetMethod,3,UNREVIEWED
D0152,reflection-callsite,OverlayPlugin.Common,RainbowMage.OverlayPlugin.TypeExtensions::GetMethod,System.Type.GetMethods,1,UNREVIEWED
D0153,reflection-callsite,OverlayPlugin.Core,<>c__DisplayClass33_0::<EpochToDateTime>b__0,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0154,reflection-callsite,OverlayPlugin.Core,<>c__DisplayClass4_0::<.ctor>b__0,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0155,reflection-callsite,OverlayPlugin.Core,CombatantChangeCriteria::.cctor,System.Type.GetField,32,UNREVIEWED
D0156,reflection-callsite,OverlayPlugin.Core,CombatantChangeCriteria::.cctor,System.Type.GetFields,1,UNREVIEWED
D0157,reflection-callsite,OverlayPlugin.Core,CombatantChangeCriteria::GetDefault,System.Activator.CreateInstance,1,UNREVIEWED
D0158,reflection-callsite,OverlayPlugin.Core,RainbowMage.OverlayPlugin.ConfigCreationConverter::Create,System.Reflection.ConstructorInfo.Invoke,2,UNREVIEWED
